"ID";"NameOfStation";"Line";"Longitude_WGS84";"Latitude_WGS84";"AdmArea";"District";"Year";"Month";"global_id";"geodata_center";"geoarea";
"№ п/п";"Станция метрополитена";"Линия";"Долгота в WGS-84";"Широта в WGS-84";"Административный округ";"Район";"Год";"Месяц";"global_id";"geodata_center";"geoarea";
"5";"Новогиреево";"Калининская линия";"37.81742514";"55.723330";"Восточный административный округ";"район Вешняки";"2021";"Март";"1146052553";"";"";
"6";"Бульвар Дмитрия Донского";"Серпуховско-Тимирязевская линия";"37.57755224";"55.56967951";"Юго-Западный административный округ";"район Северное Бутово";"2021";"Март";"1146052554";"";"";
"7";"Царицыно";"Замоскворецкая линия";"37.66917139";"55.62167819";"Южный административный округ";"район Царицыно";"2021";"Март";"1146052555";"";"";
"8";"Новокосино";"Калининская линия";"37.86427956";"55.74511606";"Восточный административный округ";"район Новокосино";"2021";"Март";"1146052556";"";"";
"9";"Текстильщики";"Таганско-Краснопресненская линия";"37.73242901";"55.70881677";"Юго-Восточный административный округ";"район Текстильщики";"2021";"Март";"1146052557";"";"";
"10";"Коломенская";"Замоскворецкая линия";"37.66426861";"55.67841547";"Южный административный округ";"район Нагатинский Затон";"2021";"Март";"1146052558";"";"";
"2";"Выхино";"Таганско-Краснопресненская линия";"37.81860885";"55.71545536";"Юго-Восточный административный округ";"район Выхино-Жулебино";"2021";"Апрель";"1146052560";"";"";
"3";"Щёлковская";"Арбатско-Покровская линия";"37.79874691";"55.80974166";"Восточный административный округ";"район Северное Измайлово";"2021";"Апрель";"1146052561";"";"";
"4";"Домодедовская";"Замоскворецкая линия";"37.71878552";"55.61087011";"Южный административный округ";"район Орехово-Борисово Южное";"2021";"Апрель";"1146052562";"";"";
"5";"Тёплый стан";"Калужско-Рижская линия";"37.50697019";"55.61863853";"Юго-Западный административный округ";"район Ясенево";"2021";"Апрель";"1146052563";"";"";
"6";"Новогиреево";"Калининская линия";"37.81742514";"55.723330";"Восточный административный округ";"район Вешняки";"2021";"Апрель";"1146052564";"";"";
"7";"Бульвар Дмитрия Донского";"Серпуховско-Тимирязевская линия";"37.57755224";"55.56967951";"Юго-Западный административный округ";"район Северное Бутово";"2021";"Апрель";"1146052565";"";"";
"8";"Царицыно";"Замоскворецкая линия";"37.66917139";"55.62167819";"Южный административный округ";"район Царицыно";"2021";"Апрель";"1146052566";"";"";
"9";"Текстильщики";"Таганско-Краснопресненская линия";"37.73242901";"55.70881677";"Юго-Восточный административный округ";"район Текстильщики";"2021";"Апрель";"1146052567";"";"";
